Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-06T19:04:59+02:00,41.374396,2.121734,25.7,65,37,1014,18.7,32.9,-,0,-,-62,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:00+02:00,41.374398,2.121752,25.7,65,37,1014,18.7,32.9,-,0,-,-65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:01+02:00,41.3744,2.121755,25.7,65,37,1014,18.7,32.9,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:03+02:00,41.374404,2.121763,25.7,65,37,1014,18.7,32.9,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:04+02:00,41.374405,2.121775,25.6,65,37,1014,18.6,32.8,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:06+02:00,41.374401,2.12178,25.6,65,37,1014,18.6,32.8,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:07+02:00,41.374392,2.121788,25.7,65,37,1014,18.7,32.9,-,1,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:08+02:00,41.374388,2.121798,25.7,65,37,1014,18.7,32.9,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:10+02:00,41.374387,2.121804,25.7,65,37,1014,18.7,32.9,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:11+02:00,41.374388,2.121807,25.7,65,37,1014,18.7,33.0,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:12+02:00,41.374388,2.121811,25.7,65,37,1014,18.7,33.0,-,0,-,-61,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:14+02:00,41.374387,2.121813,25.7,65,37,1014,18.7,32.9,-,0,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:15+02:00,41.374388,2.121814,25.7,65,37,1014,18.7,32.9,-,0,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:17+02:00,41.374388,2.121814,25.7,65,38,1014,18.7,32.9,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:18+02:00,41.374385,2.121821,25.7,65,38,1014,18.7,32.9,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:19+02:00,41.374385,2.121822,25.7,65,37,1014,18.7,32.9,-,0,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:21+02:00,41.374382,2.121828,25.7,65,37,1014,18.7,32.9,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:22+02:00,41.374376,2.121849,25.7,65,37,1014,18.7,32.9,-,0,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:23+02:00,41.374375,2.121849,25.7,65,37,1014,18.7,32.9,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:25+02:00,41.374374,2.121853,25.7,65,37,1014,18.7,33.0,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:26+02:00,41.374373,2.121854,25.7,65,37,1014,18.7,33.0,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:28+02:00,41.374372,2.121855,25.7,65,37,1014,18.7,32.9,-,0,-,-57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:29+02:00,41.374372,2.121851,25.7,65,36,1014,18.7,32.9,-,0,-,-59,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:30+02:00,41.374373,2.12185,25.7,65,36,1014,18.7,32.9,-,0,-,-66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:32+02:00,41.374373,2.121849,25.7,65,37,1014,18.7,32.9,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:33+02:00,41.374374,2.12185,25.7,65,37,1014,18.7,32.9,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:35+02:00,41.374373,2.121851,25.7,65,37,1014,18.7,32.9,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:36+02:00,41.374374,2.121853,25.7,65,37,1014,18.7,32.9,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:38+02:00,41.374375,2.121854,25.6,65,37,1014,18.6,32.8,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:39+02:00,41.374375,2.121855,25.7,65,37,1014,18.7,32.9,-,0,-,-62,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:41+02:00,41.374374,2.121855,25.7,65,37,1014,18.7,32.9,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:42+02:00,41.374373,2.121855,25.7,65,37,1014,18.7,32.9,-,0,-,-72,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:43+02:00,41.374374,2.121854,25.7,65,37,1014,18.7,32.9,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:45+02:00,41.374373,2.121854,25.7,65,37,1014,18.7,32.9,-,0,-,-59,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:46+02:00,41.374374,2.121861,25.7,65,37,1014,18.7,32.9,-,0,-,-62,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:48+02:00,41.374379,2.121854,25.7,65,37,1014,18.7,32.9,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:49+02:00,41.374383,2.121852,25.7,65,37,1014,18.7,32.9,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:50+02:00,41.374384,2.121852,25.6,65,37,1014,18.6,32.8,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:52+02:00,41.374384,2.121853,25.6,65,37,1014,18.6,32.8,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-06T19:05:53+02:00,41.374381,2.121855,25.7,65,37,1014,18.7,32.9,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
