Time,Lat,Lon,Temp[°C],Press[mbar],DP[°C],Hum[%],HDX[°C],Speed[km/h],Alt[m]
2023-09-06 19:05:00+02:00,41.3743466,2.1217642,25.7,1014,19.2,67,33.4,0,52
2023-09-06 19:05:06+02:00,41.3743469,2.1217637,25.6,1014,19.1,67,33.3,0,51
2023-09-06 19:05:09+02:00,41.3743467,2.1217642,25.6,1014,19.1,67,33.3,0,52
2023-09-06 19:05:15+02:00,41.374339,2.1217859,25.7,1014,19.1,67,33.3,2,51
2023-09-06 19:05:18+02:00,41.3743273,2.1218197,25.7,1014,19.1,67,33.3,1,51
2023-09-06 19:05:24+02:00,41.3742992,2.1218335,25.7,1014,19.1,67,33.3,1,50
2023-09-06 19:05:27+02:00,41.3743007,2.1218479,25.7,1014,19.1,67,33.3,1,51
2023-09-06 19:05:33+02:00,41.3743264,2.121863,25.7,1014,19.1,66,33.3,1,51
2023-09-06 19:05:39+02:00,41.3743325,2.1218614,25.7,1014,19.1,66,33.4,0,52
2023-09-06 19:05:42+02:00,41.3743327,2.1218612,25.7,1014,19.1,66,33.4,0,51
2023-09-06 19:05:48+02:00,41.3743327,2.1218613,25.7,1014,19.1,66,33.3,0,51
2023-09-06 19:05:54+02:00,41.3743348,2.1218606,25.7,1014,19.0,66,33.2,0,51
2023-09-06 19:05:57+02:00,41.3743358,2.121861,25.7,1014,19.0,66,33.2,0,51
2023-09-06 19:06:00+02:00,41.3743372,2.121861,25.6,1014,18.9,66,33.1,0,51
2023-09-06 19:06:03+02:00,41.374338,2.1218601,25.6,1014,19.0,66,33.1,0,51
2023-09-06 19:06:09+02:00,41.3743381,2.1218584,25.7,1014,19.0,66,33.2,0,50
2023-09-06 19:06:12+02:00,41.3743315,2.121862,25.6,1014,19.0,66,33.2,0,51
2023-09-06 19:06:18+02:00,41.3743178,2.121864,25.7,1014,19.1,66,33.3,0,51
2023-09-06 19:06:21+02:00,41.3743183,2.1218632,25.6,1014,19.0,66,33.2,0,51
2023-09-06 19:06:24+02:00,41.3743224,2.1218613,25.6,1014,19.0,66,33.1,0,51
2023-09-06 19:06:27+02:00,41.3743266,2.1218639,25.6,1014,19.0,66,33.1,0,50
2023-09-06 19:06:33+02:00,41.3743313,2.1218743,25.6,1014,18.9,66,33.0,0,51
2023-09-06 19:06:39+02:00,41.3743295,2.121858,25.6,1014,19.0,67,33.1,2,51
2023-09-06 19:06:45+02:00,41.3743336,2.1218461,25.6,1014,19.1,67,33.2,1,50
2023-09-06 19:06:51+02:00,41.374347,2.1218669,25.6,1014,19.2,67,33.2,0,51
2023-09-06 19:06:54+02:00,41.3743451,2.1218686,25.6,1014,19.2,67,33.3,0,51
2023-09-06 19:06:57+02:00,41.3743435,2.1218655,25.6,1014,19.2,67,33.3,0,51
2023-09-06 19:07:03+02:00,41.3743536,2.1218662,25.6,1014,19.2,67,33.3,0,51
2023-09-06 19:07:09+02:00,41.374359,2.1218681,25.6,1014,19.2,67,33.3,0,50
2023-09-06 19:07:12+02:00,41.3743602,2.1218676,25.6,1014,19.2,67,33.3,0,51
2023-09-06 19:07:18+02:00,41.3743584,2.1218671,25.6,1014,19.2,67,33.2,0,50
2023-09-06 19:07:24+02:00,41.3743581,2.1218669,25.6,1014,19.2,67,33.2,0,51
2023-09-06 19:07:30+02:00,41.3743531,2.1218747,25.6,1014,19.2,67,33.3,2,51
2023-09-06 19:07:33+02:00,41.3743583,2.1219043,25.6,1014,19.2,67,33.3,1,51
2023-09-06 19:07:36+02:00,41.3743483,2.1219196,25.6,1014,19.1,67,33.2,1,51
2023-09-06 19:07:42+02:00,41.3743048,2.121962,25.5,1014,19.1,67,33.1,2,50
2023-09-06 19:07:48+02:00,41.3742841,2.1220045,25.6,1014,19.1,67,33.2,2,51
2023-09-06 19:07:54+02:00,41.3742572,2.1220208,25.5,1014,19.1,67,33.1,1,50
2023-09-06 19:08:00+02:00,41.3742382,2.1220552,25.5,1014,19.1,67,33.2,2,51
2023-09-06 19:08:06+02:00,41.3742357,2.1221094,25.5,1014,19.2,68,33.2,2,50
2023-09-06 19:08:12+02:00,41.3742247,2.1221685,25.5,1014,19.2,67,33.2,2,50
2023-09-06 19:08:18+02:00,41.3742084,2.1222054,25.5,1014,19.1,67,33.1,2,50
2023-09-06 19:08:24+02:00,41.3741921,2.1222323,25.5,1014,19.1,67,33.1,2,50
2023-09-06 19:08:30+02:00,41.3741852,2.1222963,25.5,1014,19.0,67,33.0,2,50
2023-09-06 19:08:36+02:00,41.3741848,2.1223506,25.5,1014,19.1,67,33.1,2,50
2023-09-06 19:08:39+02:00,41.3741868,2.1223688,25.5,1014,19.1,67,33.1,2,50
2023-09-06 19:08:42+02:00,41.374198,2.1223933,25.5,1014,19.1,67,33.1,2,49
