Time,Lat,Lon,Press[mbar],Alt[m],Temp[°C],Hum[%],HDX[°C],Speed[km/h],DP[°C]
2023-09-13T19:08:31+02:00,41.3745711,2.1215957,1014,51,26.0,56,31.9,0,16.8
2023-09-13T19:08:36+02:00,41.3745671,2.1215898,1014,52,26.0,56,31.9,0,16.8
2023-09-13T19:08:42+02:00,41.3745552,2.1215848,1015,51,26.0,56,31.9,0,16.8
2023-09-13T19:08:48+02:00,41.3745596,2.1215693,1014,52,26.0,56,31.8,0,16.7
2023-09-13T19:08:52+02:00,41.3745647,2.1215744,1014,51,26.0,56,31.8,0,16.7
2023-09-13T19:08:57+02:00,41.3745633,2.1215636,1014,52,26.0,56,31.8,0,16.7
2023-09-13T19:09:02+02:00,41.37455,2.1215695,1014,52,26.0,56,31.8,1,16.8
2023-09-13T19:09:07+02:00,41.3745451,2.121586,1014,52,26.0,56,31.8,0,16.7
2023-09-13T19:09:12+02:00,41.3745159,2.1215461,1014,52,25.9,56,31.7,3,16.7
2023-09-13T19:09:18+02:00,41.3744591,2.1215542,1014,52,25.9,60,32.5,3,17.8
2023-09-13T19:09:22+02:00,41.3744519,2.1215834,1014,52,25.9,64,33.3,2,18.7
2023-09-13T19:09:27+02:00,41.3744173,2.1216352,1015,51,25.9,66,33.4,3,19.0
2023-09-13T19:09:31+02:00,41.3744071,2.1216513,1014,52,25.9,66,33.6,4,19.2
2023-09-13T19:09:37+02:00,41.3743698,2.1216142,1014,52,25.8,66,33.5,2,19.1
2023-09-13T19:09:40+02:00,41.3743695,2.1216023,1014,51,25.8,66,33.5,1,19.2
2023-09-13T19:09:43+02:00,41.374383,2.1216253,1014,51,25.8,66,33.5,1,19.2
2023-09-13T19:09:49+02:00,41.3743957,2.1216607,1015,51,25.8,67,33.5,2,19.2
2023-09-13T19:09:55+02:00,41.3743899,2.1217809,1015,51,25.7,67,33.3,1,19.2
2023-09-13T19:10:01+02:00,41.3743604,2.1218561,1014,51,25.6,67,33.2,2,19.1
2023-09-13T19:10:04+02:00,41.3743447,2.1218762,1015,51,25.6,67,33.3,1,19.2
2023-09-13T19:10:10+02:00,41.374276,2.1219228,1015,51,25.5,67,33.1,2,19.1
2023-09-13T19:10:13+02:00,41.3742727,2.1219356,1014,51,25.6,67,33.1,2,19.0
2023-09-13T19:10:19+02:00,41.3742448,2.1219713,1014,52,25.6,67,33.3,2,19.1
2023-09-13T19:10:22+02:00,41.3742778,2.1219579,1015,51,25.6,67,33.2,1,19.1
2023-09-13T19:10:28+02:00,41.3742771,2.1219437,1015,51,25.6,66,33.1,0,18.9
2023-09-13T19:10:31+02:00,41.3742711,2.1219396,1015,51,25.6,67,33.1,0,19.0
2023-09-13T19:10:34+02:00,41.3742586,2.1219385,1015,51,25.6,67,33.2,1,19.1
2023-09-13T19:10:40+02:00,41.3743022,2.1219083,1014,51,25.6,67,33.2,1,19.1
2023-09-13T19:10:46+02:00,41.3743,2.1219091,1014,51,25.5,67,33.0,0,19.0
2023-09-13T19:10:49+02:00,41.3743002,2.1219122,1014,51,25.5,66,33.0,0,18.9
2023-09-13T19:10:55+02:00,41.3743048,2.1219183,1015,51,25.6,66,33.1,0,19.0
2023-09-13T19:11:01+02:00,41.3743083,2.1219147,1015,51,25.6,66,33.0,0,18.9
2023-09-13T19:11:04+02:00,41.3743102,2.1219159,1014,51,25.6,66,33.0,0,18.9
2023-09-13T19:11:10+02:00,41.3743035,2.1219132,1014,51,25.5,67,33.0,0,18.9
2023-09-13T19:11:16+02:00,41.374186,2.1219445,1014,51,25.5,67,33.0,13,19.0
2023-09-13T19:11:19+02:00,41.3743034,2.1219089,1014,51,25.5,67,33.1,7,19.1
2023-09-13T19:11:22+02:00,41.3743057,2.1219109,1015,51,25.4,67,33.0,1,19.0
2023-09-13T19:11:28+02:00,41.3743005,2.1219089,1014,51,25.5,67,33.1,0,19.1
2023-09-13T19:11:34+02:00,41.37429,2.1219272,1014,51,25.5,67,33.0,1,19.0
2023-09-13T19:11:40+02:00,41.3742758,2.1219289,1015,51,25.5,67,32.9,0,18.9
