Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-13 19:10:33+02:00,41.374341,2.121976,25.5,64,37,1015,18.3,32.4,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:35+02:00,41.37434,2.121976,25.5,64,37,1015,18.3,32.3,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:36+02:00,41.374339,2.121976,25.6,65,37,1015,18.6,32.7,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:38+02:00,41.374338,2.121976,25.6,65,37,1015,18.6,32.7,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:39+02:00,41.374338,2.121976,25.6,65,36,1015,18.6,32.7,-,0,-,-57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:40+02:00,41.374337,2.121975,25.6,65,36,1015,18.6,32.7,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:42+02:00,41.374336,2.121974,25.5,65,37,1015,18.5,32.6,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:43+02:00,41.374335,2.121973,25.5,65,37,1015,18.5,32.6,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:44+02:00,41.374335,2.121972,25.6,65,37,1015,18.6,32.7,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:46+02:00,41.374333,2.12197,25.6,65,37,1015,18.6,32.7,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:47+02:00,41.374332,2.121967,25.6,65,37,1015,18.6,32.7,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:49+02:00,41.37433,2.121966,25.6,65,37,1015,18.6,32.7,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:50+02:00,41.374328,2.121965,25.5,65,37,1015,18.5,32.5,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:51+02:00,41.374328,2.121965,25.5,65,37,1015,18.5,32.6,-,0,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:53+02:00,41.37432,2.121962,25.5,65,37,1015,18.5,32.6,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:54+02:00,41.374315,2.121959,25.5,64,37,1015,18.3,32.4,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:56+02:00,41.37431,2.121954,25.5,64,37,1015,18.3,32.4,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:57+02:00,41.374308,2.121953,25.5,65,37,1015,18.5,32.6,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:10:58+02:00,41.374307,2.121952,25.5,65,37,1015,18.5,32.6,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:00+02:00,41.374306,2.121952,25.6,65,36,1015,18.6,32.8,-,0,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:01+02:00,41.374306,2.121953,25.6,65,36,1015,18.6,32.8,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:02+02:00,41.374306,2.121953,25.5,65,37,1015,18.5,32.6,-,0,-,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:04+02:00,41.374305,2.121955,25.5,65,37,1015,18.5,32.6,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:05+02:00,41.374304,2.121966,25.5,64,37,1015,18.3,32.4,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:07+02:00,41.37429,2.121958,25.5,64,37,1015,18.3,32.4,-,0,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:08+02:00,41.374288,2.121955,25.6,64,37,1015,18.4,32.5,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:09+02:00,41.374288,2.121956,25.5,64,37,1015,18.3,32.4,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:11+02:00,41.374294,2.121969,25.5,64,37,1015,18.3,32.4,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:12+02:00,41.374293,2.121977,25.5,64,37,1015,18.3,32.4,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:13+02:00,41.374288,2.121986,25.5,64,37,1015,18.3,32.4,-,1,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:15+02:00,41.374287,2.121989,25.5,65,37,1015,18.5,32.6,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:16+02:00,41.374287,2.121989,25.5,65,37,1015,18.5,32.6,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:18+02:00,41.374286,2.121989,25.5,65,37,1015,18.5,32.6,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:19+02:00,41.374288,2.121989,25.5,65,37,1015,18.5,32.6,-,0,-,-55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:20+02:00,41.374288,2.121989,25.5,65,37,1015,18.5,32.6,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:22+02:00,41.374287,2.121988,25.5,65,37,1015,18.5,32.6,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:23+02:00,41.374287,2.121986,25.5,65,37,1015,18.5,32.6,-,0,-,-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:25+02:00,41.374288,2.121986,25.5,65,37,1015,18.5,32.6,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:26+02:00,41.374287,2.121986,25.6,66,37,1015,18.8,32.8,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-13 19:11:27+02:00,41.374288,2.121986,25.4,66,36,1015,18.6,32.7,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
