Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-14T09:32:05+02:00,41.392279,2.003759,27.0,59,92,1008,18.8,34.2,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:06+02:00,41.392279,2.003756,27.1,59,91,1008,18.9,34.2,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:08+02:00,41.392268,2.003695,27.1,59,91,1008,18.9,34.2,-,3,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:09+02:00,41.392258,2.003726,27.0,59,91,1008,18.8,34.2,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:11+02:00,41.392256,2.003722,27.0,59,91,1008,18.8,34.2,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:12+02:00,41.392255,2.003714,27.0,57,91,1008,18.4,33.8,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:13+02:00,41.392246,2.003715,27.0,57,91,1009,18.4,33.8,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:14+02:00,41.392291,2.003687,27.0,56,91,1009,18.2,33.5,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:15+02:00,41.392268,2.003699,27.0,56,91,1009,18.2,33.5,-,1,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-14T09:32:16+02:00,41.392275,2.003673,27.0,56,91,1008,18.2,33.5,-,2,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
