Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-21T14:46:54+02:00,41.392437,2.003937,28.1,49,93,993,17.9,33.9,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:46:55+02:00,41.392428,2.003861,28.1,49,92,994,17.9,33.9,-,5,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:46:56+02:00,41.392434,2.003829,28.1,49,92,994,17.9,33.9,-,5,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:46:57+02:00,41.392454,2.003781,28.1,49,92,994,17.9,33.9,-,5,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:46:58+02:00,41.392471,2.003739,28.1,49,92,994,17.9,33.9,-,3,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:46:59+02:00,41.392474,2.003717,28.1,49,92,994,17.9,33.9,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:00+02:00,41.392455,2.003612,28.1,49,92,994,17.9,33.9,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:01+02:00,41.392469,2.003609,28.1,49,92,994,17.9,33.9,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:02+02:00,41.392472,2.003584,28.1,49,92,994,17.9,33.9,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:04+02:00,41.392475,2.003592,28.1,49,92,994,17.9,33.9,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:05+02:00,41.392493,2.00362,28.1,50,92,993,18.1,34.2,-,1,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:07+02:00,41.392503,2.003636,28.1,50,92,993,18.1,34.2,-,1,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:08+02:00,41.392519,2.003646,28.1,50,92,994,18.1,34.1,-,3,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:09+02:00,41.392502,2.003636,28.1,50,92,994,18.1,34.1,-,1,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:11+02:00,41.392495,2.003631,28.0,51,92,994,18.2,34.3,-,1,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:12+02:00,41.392453,2.00365,28.0,51,92,994,18.2,34.3,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:13+02:00,41.392453,2.003665,28.0,51,92,994,18.2,34.2,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:15+02:00,41.392451,2.003668,28.0,51,92,994,18.2,34.2,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:16+02:00,41.392447,2.003673,28.1,51,92,994,18.3,34.3,-,0,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:17+02:00,41.392444,2.00368,28.1,51,92,994,18.3,34.3,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:19+02:00,41.392446,2.003679,28.1,51,92,994,18.3,34.3,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:20+02:00,41.392465,2.003673,28.1,51,92,994,18.3,34.3,-,1,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:21+02:00,41.392482,2.003661,28.1,51,92,993,18.3,34.4,-,4,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:23+02:00,41.392465,2.003664,28.1,51,92,993,18.3,34.4,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:24+02:00,41.392469,2.003661,28.0,51,92,994,18.2,34.2,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:25+02:00,41.392463,2.003665,28.0,50,92,994,18.0,34.0,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:27+02:00,41.392466,2.003668,28.0,50,92,994,18.0,34.0,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:28+02:00,41.39246,2.003667,28.0,50,92,994,18.0,34.0,-,1,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:29+02:00,41.392455,2.003661,28.0,50,92,994,18.0,34.0,-,1,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:31+02:00,41.392458,2.003664,28.1,50,92,994,18.1,34.1,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:32+02:00,41.392458,2.003664,28.1,50,92,994,18.1,34.1,-,0,-,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:34+02:00,41.392458,2.003664,28.0,50,91,994,18.0,34.0,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:35+02:00,41.392458,2.003664,28.0,50,91,994,18.0,34.0,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:36+02:00,41.392458,2.003664,28.0,50,92,993,18.0,34.0,-,0,-,-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:38+02:00,41.392458,2.003664,28.0,50,92,993,18.0,34.0,-,0,-,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:39+02:00,41.392458,2.003664,28.0,50,92,994,18.0,34.0,-,0,-,-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:40+02:00,41.392458,2.003664,28.0,50,92,994,18.0,34.0,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:42+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.2,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:43+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:44+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:46+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:47+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:48+02:00,41.392458,2.003664,28.1,51,92,994,18.3,34.3,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:50+02:00,41.392458,2.003664,28.1,51,92,994,18.3,34.3,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:51+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:53+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:54+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.2,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:55+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.2,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:57+02:00,41.392458,2.003664,28.1,51,92,994,18.3,34.3,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:58+02:00,41.392458,2.003664,28.1,51,92,994,18.3,34.3,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:47:59+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:01+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:02+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:03+02:00,41.392458,2.003664,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:05+02:00,41.392436,2.003676,28.0,51,92,994,18.2,34.2,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:06+02:00,41.392436,2.003676,28.0,51,92,994,18.2,34.2,-,0,-,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:07+02:00,41.392436,2.003676,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:09+02:00,41.392436,2.003676,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:10+02:00,41.392436,2.003676,28.0,51,92,994,18.2,34.3,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:11+02:00,41.392436,2.003676,28.1,57,92,994,19.5,35.7,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:13+02:00,41.392436,2.003676,28.1,57,92,994,19.5,35.7,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:14+02:00,41.392436,2.003676,28.1,56,92,994,19.3,35.6,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:16+02:00,41.392436,2.003676,28.1,56,92,994,19.3,35.6,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:17+02:00,41.392426,2.003675,28.1,54,92,994,18.9,35.0,-,0,-,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:18+02:00,41.392426,2.003675,28.1,54,92,994,18.9,35.0,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:20+02:00,41.392426,2.003675,28.1,52,92,994,18.5,34.6,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:21+02:00,41.392426,2.003675,28.1,52,92,994,18.5,34.6,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:22+02:00,41.392426,2.003675,28.2,52,93,993,18.6,34.7,-,0,-,-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T14:48:24+02:00,41.392426,2.003675,28.2,52,93,993,18.6,34.7,-,0,-,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
