Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-21T16:20:36+02:00,41.392428,2.003504,28.4,48,98,993,18.0,34.3,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:38+02:00,41.392428,2.003504,28.4,48,98,993,18.0,34.3,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:39+02:00,41.392428,2.003504,28.5,48,98,993,18.1,34.3,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:40+02:00,41.392428,2.003504,28.5,48,98,993,18.1,34.3,-,0,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:42+02:00,41.392428,2.003504,28.5,48,98,993,18.1,34.4,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:43+02:00,41.392465,2.003467,28.5,48,98,993,18.1,34.4,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:44+02:00,41.392465,2.003467,28.4,48,98,993,18.0,34.3,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:45+02:00,41.39246,2.003466,28.4,48,98,993,18.0,34.3,-,0,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:47+02:00,41.39246,2.003466,28.5,48,97,993,18.1,34.4,-,0,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:48+02:00,41.39246,2.003466,28.5,48,97,993,18.1,34.4,-,0,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:50+02:00,41.39246,2.003466,28.5,48,98,993,18.1,34.5,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:51+02:00,41.39246,2.003466,28.6,48,98,993,18.2,34.5,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:52+02:00,41.39246,2.003466,28.6,48,98,993,18.2,34.5,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:54+02:00,41.39246,2.003466,28.6,48,98,993,18.2,34.5,-,0,-,-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:55+02:00,41.39246,2.003466,28.6,48,98,993,18.2,34.5,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:56+02:00,41.392453,2.003454,28.6,48,98,993,18.2,34.6,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-21T16:20:58+02:00,41.392456,2.003454,28.6,48,98,993,18.2,34.6,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
