Time,Lat,Lon,Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb],Temp[°C]
2023-07-07 12:05:37+02:00,41.3868791,2.1795262,70,15,1016,22.7,40.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:05:40+02:00,41.3868789,2.1795333,69,15,1016,22.6,39.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.6
2023-07-07 12:05:46+02:00,41.3868787,2.1795343,69,15,1016,22.7,40.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:05:52+02:00,41.3868766,2.1795304,70,15,1016,22.8,40.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:05:58+02:00,41.3868756,2.1795242,70,14,1016,22.8,40.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:06:01+02:00,41.3868702,2.1795364,70,14,1016,22.8,40.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:04+02:00,41.3868725,2.17953,69,15,1016,22.8,40.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:10+02:00,41.3868699,2.179539,69,15,1016,22.7,40.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:16+02:00,41.386869,2.1795426,69,15,1016,22.7,40.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:19+02:00,41.3868693,2.1795443,69,14,1016,22.6,40.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:25+02:00,41.3868711,2.1795396,68,15,1016,22.6,40.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:28+02:00,41.3868716,2.1795381,68,15,1016,22.6,40.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8
2023-07-07 12:06:34+02:00,41.3868763,2.1795319,69,15,1016,22.6,40.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:06:40+02:00,41.3868758,2.1795374,69,15,1016,22.5,39.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.7
2023-07-07 12:06:43+02:00,41.3868749,2.1795387,69,15,1016,22.4,39.6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.6
2023-07-07 12:06:49+02:00,41.3868727,2.1795316,69,15,1016,22.4,39.5,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.5
2023-07-07 12:06:52+02:00,41.3868793,2.1795201,68,15,1016,22.3,39.4,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.5
2023-07-07 12:06:58+02:00,41.3868806,2.1795177,68,15,1016,22.2,39.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.4
2023-07-07 12:07:01+02:00,41.3868771,2.1795239,68,15,1016,22.1,39.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.4
2023-07-07 12:07:07+02:00,41.3868728,2.179532,68,16,1016,21.9,38.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.3
2023-07-07 12:07:13+02:00,41.3868756,2.1795342,68,15,1016,21.9,38.6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2
2023-07-07 12:07:16+02:00,41.3868723,2.1795363,68,15,1016,21.8,38.5,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2
2023-07-07 12:07:22+02:00,41.3868767,2.1795249,68,16,1016,21.8,38.5,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.1
2023-07-07 12:07:28+02:00,41.3868778,2.1795323,68,15,1016,21.8,38.6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2
