Time,Lat,Lon,CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb],Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm]
2023-07-07 12:05:37+02:00,41.386842,2.179512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-53
2023-07-07 12:05:39+02:00,41.386839,2.179499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-58
2023-07-07 12:05:40+02:00,41.386834,2.179484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-56
2023-07-07 12:05:41+02:00,41.386834,2.179481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.8,-,0,-,-54
2023-07-07 12:05:43+02:00,41.38683,2.179476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,8,1016,22.1,39.9,-,0,-,-44
2023-07-07 12:05:44+02:00,41.386832,2.179471,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-38
2023-07-07 12:05:45+02:00,41.386832,2.179468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-48
2023-07-07 12:05:47+02:00,41.386831,2.179485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-48
2023-07-07 12:05:48+02:00,41.386831,2.179485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-48
2023-07-07 12:05:50+02:00,41.386831,2.179485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-45
2023-07-07 12:05:51+02:00,41.386836,2.179487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-45
2023-07-07 12:05:52+02:00,41.386838,2.179489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-45
2023-07-07 12:05:53+02:00,41.386842,2.179499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-45
2023-07-07 12:05:54+02:00,41.386847,2.179506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-48
2023-07-07 12:05:56+02:00,41.386843,2.179513,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.8,-,1,-,-40
2023-07-07 12:05:57+02:00,41.386835,2.17952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,1,-,-38
2023-07-07 12:05:58+02:00,41.386839,2.179509,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-34
2023-07-07 12:06:00+02:00,41.386836,2.179504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,8,1016,22.1,39.8,-,0,-,-30
2023-07-07 12:06:01+02:00,41.386841,2.179502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,39.9,-,0,-,-42
2023-07-07 12:06:02+02:00,41.38684,2.179499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,64,9,1016,22.1,40.0,-,0,-,-38
2023-07-07 12:06:04+02:00,41.38684,2.179498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-42
2023-07-07 12:06:05+02:00,41.386838,2.179493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,1,-,-42
2023-07-07 12:06:07+02:00,41.386834,2.179494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-54
2023-07-07 12:06:08+02:00,41.386831,2.179507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.8,-,0,-,-56
2023-07-07 12:06:09+02:00,41.386823,2.17951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-51
2023-07-07 12:06:11+02:00,41.386813,2.179505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-43
2023-07-07 12:06:12+02:00,41.386813,2.179504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-44
2023-07-07 12:06:14+02:00,41.386813,2.179506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-40
2023-07-07 12:06:15+02:00,41.386816,2.179508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-38
2023-07-07 12:06:16+02:00,41.386819,2.179502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.8,-,0,-,-42
2023-07-07 12:06:18+02:00,41.386817,2.1795,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,1,-,-43
2023-07-07 12:06:19+02:00,41.386812,2.179492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.7,-,0,-,-48
2023-07-07 12:06:21+02:00,41.386812,2.179489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.8,-,0,-,-45
2023-07-07 12:06:22+02:00,41.386814,2.179493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.8,-,0,-,-43
2023-07-07 12:06:23+02:00,41.386819,2.179487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-48
2023-07-07 12:06:25+02:00,41.386819,2.179486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.7,-,0,-,-45
2023-07-07 12:06:26+02:00,41.386819,2.179487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,63,9,1016,22.0,39.7,-,0,-,-44
2023-07-07 12:06:27+02:00,41.38682,2.179488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-46
2023-07-07 12:06:29+02:00,41.38682,2.179488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-44
2023-07-07 12:06:30+02:00,41.38682,2.17949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-42
2023-07-07 12:06:32+02:00,41.38682,2.17949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-43
2023-07-07 12:06:33+02:00,41.386819,2.1795,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-47
2023-07-07 12:06:34+02:00,41.386819,2.179503,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,1,-,-60
2023-07-07 12:06:36+02:00,41.386819,2.179506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-62
2023-07-07 12:06:37+02:00,41.386821,2.179508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-48
2023-07-07 12:06:38+02:00,41.386821,2.179507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.5,-,0,-,-42
2023-07-07 12:06:40+02:00,41.38682,2.179501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.5,-,0,-,-48
2023-07-07 12:06:41+02:00,41.386821,2.179491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-42
2023-07-07 12:06:43+02:00,41.38682,2.179484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-44
2023-07-07 12:06:44+02:00,41.386818,2.179484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-47
2023-07-07 12:06:45+02:00,41.386816,2.179486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-50
2023-07-07 12:06:47+02:00,41.386815,2.179487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-49
2023-07-07 12:06:48+02:00,41.386817,2.179489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,8,1016,21.8,39.4,-,0,-,-52
2023-07-07 12:06:50+02:00,41.386816,2.179489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,0,-,-53
2023-07-07 12:06:51+02:00,41.386816,2.179492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,0,-,-59
2023-07-07 12:06:52+02:00,41.386815,2.179494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-46
2023-07-07 12:06:54+02:00,41.386815,2.179494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,0,-,-48
2023-07-07 12:06:55+02:00,41.386814,2.179494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,0,-,-52
2023-07-07 12:06:57+02:00,41.386814,2.179494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,0,-,-46
2023-07-07 12:06:58+02:00,41.386813,2.179501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-49
2023-07-07 12:06:59+02:00,41.386813,2.17951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-45
2023-07-07 12:07:01+02:00,41.386815,2.179517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.7,-,0,-,-51
2023-07-07 12:07:02+02:00,41.386823,2.179514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,62,9,1016,21.8,39.5,-,0,-,-47
2023-07-07 12:07:03+02:00,41.386823,2.179515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.2,-,0,-,-47
2023-07-07 12:07:05+02:00,41.386829,2.179522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,1,-,-45
2023-07-07 12:07:06+02:00,41.38683,2.179521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,63,9,1016,21.7,39.3,-,1,-,-56
2023-07-07 12:07:08+02:00,41.386829,2.179525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.3,-,0,-,-48
2023-07-07 12:07:09+02:00,41.386829,2.179529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-51
2023-07-07 12:07:10+02:00,41.38683,2.17953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-72
2023-07-07 12:07:12+02:00,41.38683,2.17953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-60
2023-07-07 12:07:13+02:00,41.386841,2.179528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-52
2023-07-07 12:07:14+02:00,41.38684,2.17954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,63,9,1016,21.9,39.6,-,0,-,-52
2023-07-07 12:07:16+02:00,41.386843,2.179545,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,63,9,1016,21.8,39.4,-,0,-,-51
2023-07-07 12:07:17+02:00,41.386841,2.179551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,62,9,1016,21.7,39.3,-,0,-,-56
2023-07-07 12:07:19+02:00,41.38685,2.179557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,62,9,1016,21.7,39.3,-,0,-,-61
2023-07-07 12:07:20+02:00,41.386858,2.179561,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,62,9,1016,21.7,39.3,-,0,-,-53
2023-07-07 12:07:21+02:00,41.386858,2.179559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,62,9,1016,21.7,39.3,-,0,-,-63
2023-07-07 12:07:23+02:00,41.386858,2.179562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,62,9,1016,21.6,39.3,-,0,-,-56
2023-07-07 12:07:24+02:00,41.386853,2.179549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.3,62,9,1016,21.7,39.3,-,0,-,-68
2023-07-07 12:07:25+02:00,41.386856,2.179544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,62,9,1016,21.8,39.7,-,0,-,-56
2023-07-07 12:07:27+02:00,41.386854,2.179548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,62,9,1016,21.8,39.5,-,0,-,-55
2023-07-07 12:07:28+02:00,41.386848,2.179548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.4,62,9,1016,21.8,39.5,-,0,-,-53
