Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-07-10T15:35:00+02:00,41.386911,2.179618,28.6,74,9,1020,23.4,40.8,-,0,-,-64,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:01+02:00,41.386909,2.179615,28.5,74,9,1020,23.3,40.7,-,0,-,-60,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:03+02:00,41.386909,2.179615,28.5,74,8,1020,23.3,40.7,-,0,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:04+02:00,41.386906,2.179612,28.5,74,8,1020,23.3,40.6,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:05+02:00,41.386902,2.17961,28.5,74,8,1020,23.3,40.6,-,1,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:07+02:00,41.386898,2.179607,28.5,74,8,1020,23.3,40.5,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:08+02:00,41.386893,2.179603,28.5,74,8,1020,23.3,40.5,-,0,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:10+02:00,41.386891,2.1796,28.4,74,9,1020,23.2,40.4,-,1,-,-56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:11+02:00,41.386888,2.179595,28.4,74,8,1020,23.2,40.4,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:12+02:00,41.38689,2.179594,28.4,74,8,1020,23.2,40.4,-,0,-,-70,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:14+02:00,41.386887,2.179595,28.4,74,8,1020,23.2,40.5,-,1,-,-66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:15+02:00,41.386876,2.179618,28.4,74,8,1020,23.2,40.5,-,1,-,-67,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:17+02:00,41.386874,2.179629,28.4,74,8,1020,23.2,40.5,-,2,-,-64,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:18+02:00,41.38687,2.179648,28.5,74,8,1020,23.3,40.6,-,1,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:19+02:00,41.386865,2.179649,28.4,74,8,1020,23.2,40.5,-,1,-,-65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:21+02:00,41.386863,2.179626,28.4,74,8,1020,23.2,40.5,-,1,-,-62,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:22+02:00,41.386857,2.179641,28.5,74,8,1020,23.3,40.5,-,1,-,-57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:23+02:00,41.386856,2.179633,28.5,74,8,1020,23.3,40.5,-,1,-,-64,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:25+02:00,41.386851,2.179624,28.5,74,8,1020,23.3,40.5,-,1,-,-73,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:26+02:00,41.386849,2.179611,28.5,74,8,1020,23.3,40.6,-,0,-,-69,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-07-10T15:35:28+02:00,41.386852,2.179615,28.5,74,8,1020,23.3,40.5,-,0,-,-67,-,-,-,-,-,-,-,-,-,-,-,-,-,-
