Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-15T12:30:48+02:00,41.479614,2.1891199,28.0,67,25,1011,21.5,38.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:30:54+02:00,41.4796126,2.1891204,28.0,67,25,1012,21.3,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:30:59+02:00,41.4796114,2.1891236,28.0,67,25,1012,21.4,38.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:04+02:00,41.4796139,2.1891257,28.0,67,25,1011,21.4,38.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:09+02:00,41.4796134,2.1891227,28.0,67,25,1011,21.4,38.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:14+02:00,41.4796125,2.1891262,28.0,66,25,1011,21.3,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:19+02:00,41.4796125,2.1891284,28.0,67,26,1011,21.3,38.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:24+02:00,41.4796084,2.1891334,28.0,66,25,1011,21.3,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:29+02:00,41.4796105,2.1891289,28.0,66,25,1011,21.3,37.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:33+02:00,41.4796116,2.1891268,28.0,67,25,1012,21.3,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:37+02:00,41.4796119,2.1891264,28.0,67,25,1011,21.3,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:42+02:00,41.4796119,2.1891265,28.0,68,25,1011,21.6,38.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:31:47+02:00,41.4796118,2.1891266,28.1,67,26,1011,21.5,38.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:02+02:00,41.4793325,2.1891285,28.0,67,25,1011,21.4,38.0,-,16,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:06+02:00,41.4796206,2.1891309,28.0,66,25,1011,21.2,37.8,-,18,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:12+02:00,41.4796081,2.1891235,28.0,66,26,1011,21.2,37.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:15+02:00,41.4795249,2.1890879,28.0,66,25,1011,21.2,37.9,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:21+02:00,41.4794669,2.1890957,28.0,67,25,1011,21.4,38.0,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:24+02:00,41.4794754,2.1890985,28.0,68,26,1011,21.7,38.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:27+02:00,41.4795928,2.1891198,28.1,68,25,1011,21.7,38.4,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:30+02:00,41.4795976,2.1891099,28.0,68,25,1011,21.8,38.4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:36+02:00,41.4795952,2.1891086,28.1,68,25,1011,21.8,38.4,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:42+02:00,41.4796054,2.1891173,28.1,68,25,1011,21.6,38.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:48+02:00,41.4795966,2.1891193,28.0,67,25,1012,21.4,38.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:54+02:00,41.479608,2.1891151,28.0,66,26,1011,21.1,37.7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:32:57+02:00,41.4796089,2.1891154,28.0,65,26,1011,21.0,37.6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:00+02:00,41.4796219,2.1891093,28.0,65,26,1011,21.0,37.6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:03+02:00,41.4796205,2.1891089,28.0,65,25,1011,20.9,37.5,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:06+02:00,41.4796691,2.1890706,27.9,65,25,1011,20.9,37.4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:09+02:00,41.4796776,2.1890743,27.9,65,26,1011,20.8,37.4,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:15+02:00,41.4796999,2.1890278,27.9,65,26,1011,20.9,37.4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:18+02:00,41.4797065,2.1890289,27.9,65,25,1011,20.9,37.4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:24+02:00,41.4797351,2.1889978,27.9,65,25,1011,20.8,37.3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:27+02:00,41.4797214,2.1890043,27.9,65,26,1011,20.8,37.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:33+02:00,41.4797429,2.1890177,27.9,65,25,1011,20.8,37.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:36+02:00,41.479778,2.1890158,27.8,65,25,1011,20.8,37.3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:42+02:00,41.4797998,2.1890912,27.8,65,25,1011,20.8,37.1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:49+02:00,41.4798216,2.1891427,27.8,65,26,1011,20.8,37.2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:53+02:00,41.4798236,2.1891487,27.7,65,25,1011,20.7,37.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:56+02:00,41.479869,2.1892079,27.7,65,25,1011,20.7,37.0,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:33:59+02:00,41.4798701,2.1892093,27.7,65,26,1011,20.7,37.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:02+02:00,41.479905,2.1892532,27.7,65,26,1011,20.8,37.1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:05+02:00,41.4799121,2.1892666,27.7,65,25,1011,20.8,37.1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:11+02:00,41.479921,2.1892763,27.8,65,26,1011,20.7,37.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:17+02:00,41.4799379,2.18929,27.7,65,26,1011,20.8,37.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:20+02:00,41.4799613,2.1892894,27.7,66,25,1011,20.8,37.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:23+02:00,41.4799779,2.189295,27.7,66,26,1011,20.8,37.1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:29+02:00,41.4800434,2.189384,27.5,67,26,1011,20.9,36.9,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:32+02:00,41.4800567,2.1894284,27.5,67,26,1011,20.9,37.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:38+02:00,41.4800469,2.1894709,27.5,67,25,1011,20.9,36.9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:41+02:00,41.4800376,2.189476,27.5,67,26,1011,20.9,37.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:44+02:00,41.4800293,2.1894752,27.4,67,25,1011,20.9,36.8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:47+02:00,41.4800201,2.1894781,27.4,67,25,1011,20.9,36.9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:50+02:00,41.4800144,2.1894838,27.5,67,25,1011,21.1,37.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:53+02:00,41.4800129,2.1894844,27.5,69,26,1011,21.4,37.4,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:34:59+02:00,41.4799989,2.1894832,27.5,72,26,1011,22.2,38.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:02+02:00,41.4799996,2.1894841,27.5,71,25,1011,21.8,37.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:08+02:00,41.480003,2.1894854,27.5,68,25,1012,21.2,37.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:11+02:00,41.4800045,2.1894856,27.5,68,26,1011,21.1,37.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:17+02:00,41.4800051,2.1894858,27.6,67,26,1011,21.1,37.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:23+02:00,41.480005,2.1894858,27.6,67,25,1011,21.1,37.2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:29+02:00,41.4800048,2.189486,27.6,68,26,1011,21.2,37.3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:32+02:00,41.4800674,2.1894244,27.6,67,25,1011,21.2,37.3,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:38+02:00,41.480088,2.1894041,27.6,67,26,1011,21.1,37.2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:41+02:00,41.4800125,2.1894784,27.6,67,25,1011,21.1,37.2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:44+02:00,41.4800007,2.1894901,27.6,67,25,1011,21.1,37.3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:50+02:00,41.4800122,2.1894823,27.6,67,25,1011,21.0,37.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:35:56+02:00,41.4800246,2.1894988,27.6,67,26,1011,20.9,37.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:02+02:00,41.4800299,2.1895036,27.6,67,26,1011,20.9,37.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:08+02:00,41.4801275,2.1894138,27.6,66,25,1011,20.9,37.0,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:14+02:00,41.4801396,2.1894328,27.6,66,26,1011,20.9,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:17+02:00,41.4801082,2.1894269,27.6,66,26,1011,20.8,36.9,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:20+02:00,41.4801048,2.1894265,27.6,66,26,1011,20.9,37.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:26+02:00,41.4800892,2.189463,27.6,66,26,1011,20.8,37.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:32+02:00,41.4801043,2.1894548,27.6,66,26,1011,20.8,36.9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:38+02:00,41.4801118,2.189474,27.6,66,26,1011,20.8,36.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:41+02:00,41.4801114,2.1894083,27.6,66,26,1011,20.8,37.0,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:44+02:00,41.4801113,2.1894022,27.6,66,26,1011,20.8,37.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:47+02:00,41.4801192,2.1894213,27.6,66,26,1011,20.8,36.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:53+02:00,41.4801135,2.1894184,27.6,66,26,1011,20.9,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:36:59+02:00,41.4801144,2.1893723,27.6,66,26,1011,20.9,37.1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:02+02:00,41.4801151,2.1893979,27.6,66,25,1011,20.9,37.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:05+02:00,41.4801152,2.1894001,27.6,66,26,1011,20.8,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:11+02:00,41.4801144,2.1894021,27.6,66,26,1011,20.8,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:14+02:00,41.4801135,2.1894009,27.6,66,26,1011,20.8,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:20+02:00,41.4801188,2.1894212,27.6,66,26,1011,20.8,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:26+02:00,41.4801203,2.189455,27.6,66,26,1011,20.8,36.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:29+02:00,41.4801245,2.1894486,27.6,66,26,1011,20.8,37.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:35+02:00,41.4801272,2.1894448,27.6,66,26,1011,20.8,36.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15T12:37:38+02:00,41.4801337,2.1894711,27.6,66,26,1011,20.7,36.9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
