Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-15 12:40:08+02:00,41.479944,2.189603,27.2,67,32,1011,20.6,36.2,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:09+02:00,41.479943,2.189605,27.2,67,32,1011,20.6,36.2,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:11+02:00,41.479946,2.189605,27.1,67,32,1011,20.5,36.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:12+02:00,41.479945,2.189605,27.1,67,32,1011,20.5,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:14+02:00,41.479945,2.189605,27.1,67,33,1011,20.5,36.1,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:15+02:00,41.479945,2.189605,27.1,66,33,1011,20.3,35.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:16+02:00,41.479945,2.189605,27.1,66,33,1011,20.3,35.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:18+02:00,41.479945,2.189605,27.2,66,32,1011,20.4,36.0,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:19+02:00,41.479944,2.189614,27.2,66,32,1011,20.4,36.0,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:20+02:00,41.479944,2.189614,27.2,66,32,1011,20.4,36.0,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:22+02:00,41.479944,2.189614,27.2,66,32,1011,20.4,36.0,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:23+02:00,41.479944,2.189614,27.1,66,32,1011,20.3,35.9,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:24+02:00,41.479944,2.189614,27.1,66,32,1011,20.3,35.9,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:26+02:00,41.479944,2.189614,27.1,67,33,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:27+02:00,41.479944,2.189614,27.1,67,33,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:28+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:30+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:31+02:00,41.479944,2.189614,27.2,67,32,1011,20.6,36.2,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:32+02:00,41.479944,2.189614,27.2,67,32,1011,20.6,36.2,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:34+02:00,41.479944,2.189614,27.1,67,31,1011,20.5,36.1,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:35+02:00,41.479944,2.189614,27.1,67,31,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:36+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:38+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:39+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:41+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:42+02:00,41.479944,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:43+02:00,41.479933,2.189614,27.1,67,33,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:45+02:00,41.479933,2.189614,27.1,67,33,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:46+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:47+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:49+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:50+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:51+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:53+02:00,41.479933,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:54+02:00,41.479933,2.189614,27.2,67,32,1011,20.6,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:55+02:00,41.479933,2.189614,27.2,67,32,1011,20.6,36.2,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:57+02:00,41.479933,2.189614,27.2,67,32,1011,20.6,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:58+02:00,41.479926,2.18961,27.2,67,32,1011,20.6,36.2,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:40:59+02:00,41.479926,2.18961,27.1,67,33,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:01+02:00,41.479924,2.189614,27.1,67,32,1011,20.5,36.1,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:02+02:00,41.479925,2.189615,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:03+02:00,41.479925,2.189617,27.1,67,32,1011,20.5,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:05+02:00,41.479927,2.189614,27.1,67,32,1011,20.5,36.2,-,0,-,-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:06+02:00,41.47993,2.189614,27.1,67,33,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:08+02:00,41.479931,2.189613,27.1,67,33,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:09+02:00,41.479931,2.189613,27.1,67,32,1011,20.5,36.1,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:10+02:00,41.479931,2.189613,27.1,67,32,1011,20.5,36.1,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:12+02:00,41.479931,2.189613,27.1,67,32,1011,20.5,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:13+02:00,41.479931,2.189613,27.1,67,32,1011,20.5,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:14+02:00,41.479931,2.189613,27.2,67,33,1011,20.6,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:16+02:00,41.479931,2.189613,27.2,67,33,1011,20.6,36.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:17+02:00,41.479931,2.189613,27.1,67,33,1011,20.5,36.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-15 12:41:18+02:00,41.479931,2.189613,27.1,67,33,1011,20.5,36.2,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
