Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-22T12:29:45+02:00,41.479469,2.189222,25.9,45,32,1006,14.9,29.4,-,1,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:46+02:00,41.479473,2.189225,25.9,45,31,1006,14.9,29.4,-,1,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:48+02:00,41.479459,2.189233,25.9,45,31,1006,14.9,29.4,-,3,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:48+02:00,41.479437,2.189256,25.9,45,31,1006,14.9,29.4,-,3,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:49+02:00,41.479423,2.189281,25.9,44,31,1006,14.7,29.1,-,3,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:50+02:00,41.479417,2.189291,25.9,44,31,1006,14.7,29.1,-,3,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:52+02:00,41.47942,2.189298,25.9,44,31,1006,14.7,29.1,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:53+02:00,41.479411,2.189296,25.9,44,31,1006,14.7,29.1,-,5,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:54+02:00,41.479396,2.189315,25.9,44,31,1006,14.7,29.1,-,4,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:55+02:00,41.479383,2.189325,25.9,44,31,1006,14.7,29.1,-,4,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:57+02:00,41.47938,2.189313,25.9,44,31,1006,14.7,29.2,-,2,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:58+02:00,41.479373,2.189317,25.9,44,31,1006,14.7,29.2,-,2,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:29:59+02:00,41.479376,2.189329,26.0,44,32,1006,14.8,29.2,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:01+02:00,41.479382,2.189345,26.0,44,32,1006,14.8,29.2,-,2,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:02+02:00,41.479381,2.189335,25.9,44,31,1006,14.7,29.1,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:03+02:00,41.479376,2.189341,25.9,44,31,1006,14.7,29.1,-,1,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:04+02:00,41.479372,2.189352,26.0,44,31,1006,14.8,29.2,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:06+02:00,41.479364,2.189351,26.0,44,31,1006,14.8,29.2,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:07+02:00,41.479369,2.189384,25.9,44,31,1006,14.7,29.2,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:08+02:00,41.479373,2.189391,25.9,44,31,1006,14.7,29.2,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:10+02:00,41.479375,2.189398,25.9,44,31,1006,14.7,29.2,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:11+02:00,41.479384,2.189409,25.9,44,31,1006,14.7,29.2,-,1,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:12+02:00,41.47939,2.189417,26.0,42,31,1006,14.4,28.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:13+02:00,41.479393,2.189421,26.0,42,31,1006,14.4,28.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:14+02:00,41.479395,2.189425,25.9,42,31,1006,14.3,28.7,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:16+02:00,41.479392,2.189426,25.9,42,31,1006,14.3,28.7,-,0,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:17+02:00,41.479391,2.189428,25.9,42,31,1006,14.3,28.7,-,1,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:18+02:00,41.479386,2.18943,25.9,42,31,1006,14.3,28.7,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:20+02:00,41.47938,2.189429,25.9,42,30,1006,14.3,28.7,-,1,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:21+02:00,41.479373,2.18942,25.9,42,30,1006,14.3,28.7,-,1,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:23+02:00,41.479371,2.189416,25.9,42,31,1006,14.3,28.7,-,1,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:24+02:00,41.479368,2.189405,25.9,42,31,1006,14.3,28.7,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:25+02:00,41.479369,2.1894,25.9,42,31,1006,14.3,28.7,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:27+02:00,41.479369,2.189395,25.9,42,31,1006,14.3,28.7,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:28+02:00,41.479368,2.189391,25.9,43,31,1006,14.5,28.9,-,1,-,-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:30+02:00,41.479371,2.189397,25.9,42,30,1006,14.3,28.7,-,1,-,-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:31+02:00,41.479368,2.189404,25.9,42,30,1006,14.3,28.7,-,1,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:32+02:00,41.479374,2.1894,25.9,43,31,1006,14.5,28.9,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:34+02:00,41.479379,2.189403,25.9,43,31,1006,14.5,28.9,-,1,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:35+02:00,41.479387,2.189397,25.9,42,30,1006,14.3,28.7,-,1,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:36+02:00,41.479393,2.189397,25.9,42,30,1006,14.3,28.7,-,1,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:37+02:00,41.479401,2.189392,25.9,42,30,1006,14.3,28.7,-,2,-,-58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-22T12:30:38+02:00,41.479406,2.189391,25.9,43,30,1006,14.5,28.9,-,2,-,-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-
