Time,Lat,Lon,Temp[°C],Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb]
2023-09-29 12:34:38+02:00,41.48013,2.1894072,27.3,63,19,1019,19.8,35.7,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:41+02:00,41.4801369,2.1893984,27.3,63,19,1019,19.8,35.8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:44+02:00,41.4801602,2.1894425,27.3,63,19,1019,19.9,35.8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:47+02:00,41.4801568,2.1894489,27.3,63,19,1019,19.9,35.8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:50+02:00,41.4801009,2.1893753,27.3,63,19,1019,19.9,35.8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:56+02:00,41.4800875,2.1893741,27.3,63,19,1019,19.8,35.7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:34:59+02:00,41.4800684,2.1893374,27.3,63,19,1019,19.9,35.8,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:05+02:00,41.4800804,2.1893418,27.3,63,20,1019,19.8,35.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:08+02:00,41.4800833,2.1893434,27.3,63,19,1019,19.8,35.7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:14+02:00,41.4801818,2.1895092,27.3,63,19,1019,19.8,35.7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:17+02:00,41.4801774,2.1895024,27.3,63,20,1019,19.8,35.7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:20+02:00,41.480119,2.1894668,27.3,63,20,1019,19.8,35.7,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:23+02:00,41.4801689,2.1894449,27.3,63,19,1019,19.7,35.7,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:26+02:00,41.4801774,2.1894442,27.3,63,19,1019,19.8,35.8,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:29+02:00,41.4801441,2.1893892,27.3,63,19,1019,19.7,35.6,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:32+02:00,41.480142,2.189386,27.3,63,19,1019,19.8,35.7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:35+02:00,41.480122,2.1893794,27.3,63,19,1019,19.8,35.7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023-09-29 12:35:38+02:00,41.4801508,2.189437,27.3,63,20,1019,19.8,35.8,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
