Time,Lat,Lon,Hum[%],Alt[m],Press[mbar],DP[°C],HDX[°C],Gradient[°C/100m],Speed[km/h],Radiation[],BT[dBm],CO2[ppm],mass PM1.0[μg/m3],mass PM2.5[μg/m3],mass PM4[μg/m3],mass PM10[μg/m3],number PM0.5[#/cm3],number PM1.0[#/cm3],number PM2.5[#/cm3],number PM4[#/cm3],number PM10[#/cm3],Typical Part Size[μm],EAQ[],FAQ[],O3[ppb],Temp[°C]
2023-09-29 12:33:06+02:00,41.479963,2.189493,63,32,1019,20.0,35.7,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:07+02:00,41.479953,2.189495,63,32,1019,20.0,35.7,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:08+02:00,41.479943,2.189524,63,32,1019,20.0,35.7,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:09+02:00,41.479943,2.189524,63,32,1019,20.0,35.7,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:10+02:00,41.479943,2.189524,63,32,1019,20.0,35.7,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:12+02:00,41.479943,2.189524,63,32,1019,20.0,35.8,-,0,-,-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:13+02:00,41.479943,2.189524,63,32,1019,20.0,35.8,-,0,-,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:14+02:00,41.479943,2.189524,63,32,1019,20.0,35.8,-,0,-,-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:16+02:00,41.479943,2.189524,63,32,1019,20.0,35.8,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:17+02:00,41.479933,2.189535,63,32,1019,20.0,35.8,-,0,-,-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:19+02:00,41.479933,2.189535,63,32,1019,20.0,35.7,-,0,-,-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:20+02:00,41.479928,2.189536,63,32,1019,20.0,35.7,-,0,-,-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:21+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:23+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:24+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:25+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:27+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:28+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:30+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
2023-09-29 12:33:31+02:00,41.479928,2.189536,63,32,1019,20.0,35.8,-,0,-,-63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.4
